"Topics","Ontology","Count","GeneRatio","BgRatio","pvalue","p.adjust","Uploaded.IDs"
"Regulation and Communication in Cardiac Conduction and Extracellular Matrix Dynamics","BP",292,"292/297","28776/30343",0.0018,0.0101,"O00291/O14656/O14672/O14908/O14939/O15118/O15126/O15144/O15173/O15269/O15270/O15511/O43175/O43324/O43681/O43865/O60313/O60443/O60488/O60664/O60669/O60716/O75396/O75436/O75477/O75521/O75695/O75718/O75787/O75907/O94925/O95208/O95292/O95470/O95716/O96005/P00167/P00390/P00558/P04406/P04439/P05067/P05556/P06213/P06744/P06753/P06756/P07910/P07954/P08133/P08174/P08195/P08670/P08708/P08865/P09874/P0DMV9/P10301/P10515/P11117/P11166/P11171/P11177/P11233/P11498/P11586/P12235/P12268/P12814/P13284/P14406/P15121/P15311/P16989/P17050/P18031/P18077/P18084/P18206/P18827/P21964/P22314/P22830/P23458/P23634/P24752/P25445/P26006/P26038/P26639/P26885/P27105/P28288/P29966/P30041/P31040/P31937/P31949/P32004/P32322/P33992/P35221/P35241/P35606/P35613/P36551/P36873/P38571/P39060/P40189/P42126/P43121/P46777/P46939/P49006/P49327/P50213/P50895/P51149/P51151/P51648/P51809/P51991/P52209/P53007/P53618/P53621/P53985/P53990/P55145/P55327/P60033/P61020/P84077/P61769/P62166/P62979/P63027/P63173/P67936/P68366/P78527/P78536/P98082/Q00765/Q01082/Q01518/Q01650/Q01813/Q01974/Q02218/Q04941/Q07157/Q07954/Q12792/Q12913/Q12965/Q13162/Q13308/Q13444/Q13510/Q13561/Q13740/Q13813/Q14019/Q14118/Q14141/Q14157/Q14192/Q14204/Q14573/Q14644/Q15043/Q15084/Q15286/Q15599/Q15758/Q15942/Q16270/Q16513/Q16527/Q16643/Q16718/Q16850/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q68CZ2/Q6L8Q7/Q6NUM9/Q6NUT3/Q6NZI2/Q6P1M3/Q6PIU2/Q6PJF5/Q6UWP7/Q6YHK3/Q6ZNB6/Q6ZXV5/Q70UQ0/Q7Z7H5/Q86UP2/Q86W92/Q86X29/Q8IVL5/Q8IVT2/Q8IXB1/Q8N3E9/Q8N4V1/Q8N5M9/Q8N697/Q8N766/Q8NBJ4/Q8NBM4/Q8NBX0/Q8NC42/Q8NFQ8/Q8NG11/Q8TC12/Q8TEM1/Q92692/Q92896/Q93052/Q969X5/Q96AA3/Q96AY3/Q96BJ3/Q96BY6/Q96C36/Q96CS3/Q96FW1/Q96JJ7/Q96PU5/Q96QK1/Q99439/Q99584/Q99653/Q99714/Q9BQS8/Q9BS26/Q9BTV4/Q9BUL8/Q9BXK5/Q9BYT8/Q9C0E8/Q9H089/Q9H330/Q9H3N1/Q9H4A6/Q9H6X2/Q9H936/Q9HBM0/Q9HC07/Q9HD45/Q9HDC9/Q9NP58/Q9NR30/Q9NUQ9/Q9NYY8/Q9NZ08/Q9P035/Q9P0V3/Q9P0V9/Q9P206/Q9P2B2/Q9UBB4/Q9UBQ7/Q9UBS4/Q9UBV2/Q9UEU0/Q9UHB6/Q9UHN6/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UL46/Q9UMS0/Q9UN86/Q9UNK0/Q9UQB8/Q9Y2D5/Q9Y376/Q9Y3E5/Q9Y5X1/Q9Y624/Q9Y678/Q9Y679/Q9Y696/Q9Y6E0/Q9Y6M5/Q9Y6N5"
"Membrane Structures and Vesicle Dynamics in Cellular Functions","CC",283,"283/297","23750/30343",0,0,"O00291/O14656/O14672/O14908/O14939/O15118/O15126/O15144/O15173/O15269/O15270/O15511/O43175/O43324/O43493/O43681/O43865/O60313/O60488/O60664/O60669/O60716/O75396/O75436/O75477/O75521/O75695/O75718/O75787/O75907/O94925/O95208/O95292/O95470/O95716/P00167/P00390/P00558/P04406/P04439/P05067/P05556/P06213/P06744/P06753/P06756/P07910/P07954/P08133/P08174/P08195/P08670/P08708/P08865/P09874/P0DMV9/P10301/P10515/P11117/P11166/P11171/P11177/P11233/P11498/P11586/P12235/P12268/P12814/P13284/P14406/P15121/P15311/P16989/P17050/P18031/P18077/P18084/P18206/P18827/P21964/P22314/P22830/P23458/P23634/P24752/P25445/P26006/P26038/P26639/P26885/P27105/P28288/P29966/P30041/P31040/P31937/P31949/P32322/P33992/P35221/P35241/P35606/P35613/P36551/P36873/P38571/P39060/P40189/P42126/P43121/P46777/P46939/P49006/P49327/P50213/P50895/P51149/P51151/P51648/P51809/P51991/P52209/P53007/P53618/P53621/P53985/P53990/P55145/P55327/P60033/P61020/P84077/P61769/P62166/P62979/P63027/P63173/P67936/P68366/P78527/P78536/P98082/Q00765/Q01082/Q01518/Q01650/Q01813/Q01974/Q02218/Q04941/Q07065/Q07157/Q07954/Q12792/Q12913/Q12965/Q13162/Q13444/Q13510/Q13561/Q13740/Q13813/Q14019/Q14118/Q14141/Q14157/Q14192/Q14204/Q14573/Q14644/Q15043/Q15084/Q15286/Q15599/Q15758/Q15942/Q16270/Q16513/Q16527/Q16643/Q16718/Q16850/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q6L8Q7/Q6NUM9/Q6NUT3/Q6NZI2/Q6P1M3/Q6PIU2/Q6PJF5/Q6UWP7/Q6YHK3/Q6ZNB6/Q6ZXV5/Q70UQ0/Q7Z7H5/Q86UP2/Q86W92/Q86X29/Q8IVL5/Q8IVT2/Q8IXB1/Q8N4V1/Q8N5M9/Q8N697/Q8N766/Q8NBJ4/Q8NBM4/Q8NBX0/Q8NC42/Q8NFQ8/Q8NG11/Q8TC12/Q8TEM1/Q92692/Q92896/Q93052/Q969X5/Q96AA3/Q96AG4/Q96AY3/Q96BY6/Q96C36/Q96CS3/Q96FW1/Q96JJ7/Q96PU5/Q96QK1/Q99439/Q99584/Q99653/Q99714/Q9BQS8/Q9BS26/Q9BTV4/Q9BUL8/Q9BXK5/Q9BYT8/Q9C0E8/Q9H089/Q9H3N1/Q9H4A6/Q9H6X2/Q9H936/Q9HBM0/Q9HC07/Q9NP58/Q9NR30/Q9NUQ9/Q9NYY8/Q9NZ08/Q9P035/Q9P0V3/Q9P0V9/Q9P2B2/Q9UBQ7/Q9UBS4/Q9UBV2/Q9UEU0/Q9UHB6/Q9UHN6/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UL46/Q9UMS0/Q9UN86/Q9UNK0/Q9UQB8/Q9Y2D5/Q9Y376/Q9Y3E5/Q9Y5X1/Q9Y624/Q9Y678/Q9Y679/Q9Y696/Q9Y6E0/Q9Y6M5/Q9Y6N5"
"Essential Components and Functions of Epithelial and Cellular Junctions","CC",209,"209/297","18564/30343",6e-04,0.0038,"O00291/O14656/O14672/O14908/O15118/O15144/O15173/O15511/O43175/O43324/O43493/O43681/O43865/O60313/O60488/O60669/O60716/O75695/O75718/O75787/O95716/P00390/P00558/P04406/P04439/P05067/P05556/P06213/P06744/P06753/P06756/P07910/P07954/P08133/P08174/P08195/P08670/P08708/P08865/P09874/P0DMV9/P10301/P11117/P11166/P11171/P11177/P11233/P11586/P12268/P12814/P13284/P15121/P15311/P16989/P17050/P18077/P18084/P18206/P18827/P21964/P22314/P23458/P23634/P24752/P25445/P26006/P26038/P26639/P27105/P29966/P30041/P31040/P31949/P32004/P33992/P35221/P35241/P35613/P36873/P38571/P39060/P40189/P43121/P46777/P46939/P49006/P49327/P50213/P50895/P51149/P51151/P51809/P51991/P52209/P53007/P53621/P53985/P53990/P55145/P60033/P61020/P84077/P61769/P62979/P63173/P67936/P68366/P78527/P78536/P98082/Q01082/Q01518/Q01650/Q01813/Q02218/Q07065/Q07157/Q07954/Q12792/Q12913/Q12965/Q13162/Q13308/Q13444/Q13510/Q13561/Q13740/Q13813/Q14019/Q14118/Q14141/Q14157/Q14192/Q14204/Q14573/Q15043/Q15084/Q15286/Q15599/Q15758/Q15942/Q16270/Q16513/Q16527/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q68CZ2/Q6NUM9/Q6NZI2/Q6YHK3/Q6ZNB6/Q86W92/Q86X29/Q8IVL5/Q8IVT2/Q8NBJ4/Q8NBX0/Q8NFQ8/Q8TEM1/Q92692/Q92896/Q93052/Q969X5/Q96AG4/Q96BY6/Q96CS3/Q96FW1/Q96PU5/Q96QK1/Q99439/Q99584/Q99653/Q9BS26/Q9BTV4/Q9BUL8/Q9BXK5/Q9BYT8/Q9C0E8/Q9H089/Q9HBM0/Q9NP58/Q9NR30/Q9NUQ9/Q9NZ08/Q9P035/Q9P0V3/Q9P0V9/Q9UBB4/Q9UBQ7/Q9UBS4/Q9UEU0/Q9UHB6/Q9UHN6/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UL46/Q9UMS0/Q9UQB8/Q9Y2D5/Q9Y376/Q9Y5X1/Q9Y624/Q9Y679/Q9Y696/Q9Y6E0/Q9Y6M5"
"Regulation of Biological Processes by pH, Photoperiod, and Cellular Signaling","BP",208,"208/297","20219/30343",0.1171,0.2541,"O00291/O14656/O14672/O14908/O14939/O15118/O15144/O15173/O15269/O15270/O15511/O43175/O43324/O43865/O60313/O60443/O60488/O60664/O60716/O75396/O75436/O75477/O75718/O75787/O75907/O94925/O95208/O95292/O95470/O95716/O96005/P00558/P04406/P04439/P05067/P05556/P06213/P06744/P06756/P07910/P07954/P08133/P08174/P08195/P08670/P09874/P0DMV9/P10301/P11171/P11233/P11498/P12235/P12814/P13284/P14406/P15121/P15311/P16989/P18031/P18084/P18206/P18827/P21964/P22830/P23458/P23634/P25445/P26006/P26038/P27105/P30041/P31949/P32004/P32322/P33992/P35221/P35241/P35613/P36873/P38571/P39060/P40189/P43121/P46777/P46939/P49006/P50895/P51149/P51151/P51809/P53621/P53985/P53990/P55145/P60033/P61020/P84077/P61769/P62166/P63027/P63173/P78527/P78536/P98082/Q00765/Q01082/Q01518/Q01650/Q01974/Q04941/Q07157/Q07954/Q12792/Q12913/Q12965/Q13162/Q13308/Q13444/Q13510/Q13740/Q13813/Q14019/Q14118/Q14192/Q14204/Q14573/Q14644/Q15043/Q15286/Q15942/Q16270/Q16513/Q16643/Q16850/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q6L8Q7/Q6NUM9/Q6NUT3/Q6NZI2/Q6P1M3/Q6PIU2/Q6PJF5/Q6YHK3/Q6ZNB6/Q6ZXV5/Q7Z7H5/Q8IVL5/Q8IVT2/Q8IXB1/Q8N3E9/Q8N5M9/Q8N697/Q8NBJ4/Q8NBM4/Q8NC42/Q8NFQ8/Q8NG11/Q8TC12/Q92692/Q92896/Q96AA3/Q96BJ3/Q96BY6/Q96FW1/Q96PU5/Q96QK1/Q99439/Q99584/Q99653/Q99714/Q9BQS8/Q9BUL8/Q9BXK5/Q9BYT8/Q9C0E8/Q9H4A6/Q9H6X2/Q9H936/Q9HC07/Q9NR30/Q9NUQ9/Q9NYY8/Q9NZ08/Q9P035/Q9P0V3/Q9UBS4/Q9UBV2/Q9UEU0/Q9UHB6/Q9UHN6/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UL46/Q9UN86/Q9UNK0/Q9UQB8/Q9Y2D5/Q9Y376/Q9Y3E5/Q9Y5X1/Q9Y624/Q9Y696/Q9Y6E0/Q9Y6M5"
"Role of ER and Golgi Complexes in Cellular Transport and Protein Processing","CC",169,"169/297","8447/30343",0,0,"O00291/O14656/O14672/O14908/O14939/O15118/O15126/O15144/O15173/O15269/O15270/O15511/O43493/O43681/O43865/O60488/O60664/O75396/O75436/O75477/O75695/O75718/O75787/O75907/O95208/O95292/O95470/O95716/O96005/P00167/P04406/P04439/P05067/P05556/P06213/P06744/P06756/P08133/P08174/P09874/P0DMV9/P11166/P12268/P12814/P15311/P18031/P18206/P18827/P22314/P23458/P26885/P27105/P30041/P31949/P35221/P35606/P35613/P39060/P46777/P49327/P51149/P51151/P51648/P51809/P53618/P53621/P53990/P55145/P55327/P61020/P84077/P61769/P62166/P62979/P63027/P78536/P98082/Q00765/Q01518/Q04941/Q07065/Q07954/Q12913/Q13162/Q13444/Q13510/Q13813/Q14019/Q14118/Q14141/Q14204/Q14573/Q15043/Q15084/Q15286/Q15599/Q16270/Q16850/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q6NUM9/Q6NUT3/Q6NZI2/Q6PIU2/Q6PJF5/Q6UWP7/Q6YHK3/Q6ZXV5/Q70UQ0/Q7Z7H5/Q86UP2/Q8IVL5/Q8IXB1/Q8N4V1/Q8N5M9/Q8N697/Q8N766/Q8NBJ4/Q8NBM4/Q8NBX0/Q8NC42/Q8NFQ8/Q8NG11/Q8TC12/Q8TEM1/Q92896/Q969X5/Q96AA3/Q96AG4/Q96AY3/Q96CS3/Q96JJ7/Q96PU5/Q96QK1/Q99439/Q99653/Q9BQS8/Q9BS26/Q9BTV4/Q9BUL8/Q9C0E8/Q9H089/Q9H3N1/Q9H4A6/Q9H6X2/Q9HBM0/Q9HC07/Q9NP58/Q9NUQ9/Q9NZ08/Q9P035/Q9P0V3/Q9P2B2/Q9UBS4/Q9UBV2/Q9UEU0/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UNK0/Q9UQB8/Q9Y376/Q9Y5X1/Q9Y678/Q9Y679/Q9Y6E0/Q9Y6M5"
"Key Protein Complexes and Membranes in Specialized Cellular Organelles","CC",156,"156/297","11110/30343",0,0,"O14656/O14672/O15118/O15126/O15144/O15511/O43324/O43493/O43681/O60313/O60669/O75436/O75521/O75695/O75718/O75787/O75907/O94925/O95716/P00390/P05067/P06213/P06744/P06756/P07910/P07954/P08133/P08174/P08195/P08670/P08708/P08865/P09874/P0DMV9/P10515/P11117/P11171/P11177/P11498/P12268/P12814/P13284/P15121/P15311/P17050/P18031/P18206/P18827/P22314/P22830/P24752/P25445/P27105/P28288/P30041/P31040/P31937/P31949/P32322/P33992/P36551/P36873/P38571/P39060/P42126/P46777/P46939/P50213/P51149/P51151/P51809/P51991/P53618/P53990/P55145/P61769/P62979/P78527/P78536/P98082/Q01082/Q01518/Q01650/Q02218/Q07065/Q07954/Q12913/Q13162/Q13510/Q13813/Q14019/Q14118/Q14192/Q14204/Q14573/Q15043/Q15084/Q16270/Q16513/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q6L8Q7/Q6NUT3/Q6NZI2/Q6PJF5/Q6YHK3/Q86UP2/Q8IVL5/Q8IXB1/Q8N697/Q8NBJ4/Q8NBX0/Q8NG11/Q969X5/Q96AG4/Q96AY3/Q96BY6/Q96C36/Q96CS3/Q96FW1/Q96JJ7/Q96PU5/Q96QK1/Q99439/Q99584/Q99714/Q9BQS8/Q9BS26/Q9BTV4/Q9BYT8/Q9C0E8/Q9H089/Q9H4A6/Q9HBM0/Q9HC07/Q9NP58/Q9NR30/Q9NUQ9/Q9NYY8/Q9NZ08/Q9UBQ7/Q9UBS4/Q9UEU0/Q9UHN6/Q9UIQ6/Q9UL46/Q9UMS0/Q9UNK0/Q9UQB8/Q9Y2D5/Q9Y376/Q9Y679/Q9Y696/Q9Y6E0"
"Cellular Responses to Various Stimuli and Stressors","BP",150,"150/297","12970/30343",0.0041,0.0204,"O00291/O14656/O14672/O14908/O14939/O15118/O15173/O43324/O43865/O60313/O60443/O60664/O60716/O75477/O75787/O95208/O95292/O95470/P00390/P00558/P04406/P04439/P05067/P05556/P06213/P06744/P06756/P07954/P08133/P08174/P08670/P09874/P0DMV9/P10301/P11166/P11233/P12235/P12268/P15121/P15311/P16989/P18031/P18084/P18827/P21964/P22314/P22830/P23458/P23634/P24752/P25445/P26006/P26038/P29966/P30041/P31949/P32322/P33992/P35221/P35241/P35613/P36873/P40189/P46777/P49327/P50895/P51149/P51151/P51809/P53621/P53985/P55145/P60033/P61769/P63027/P78527/P78536/P98082/Q01082/Q01518/Q01650/Q01813/Q01974/Q04941/Q07954/Q12913/Q12965/Q13162/Q13308/Q13444/Q13510/Q13740/Q14118/Q14192/Q14573/Q14644/Q15043/Q15084/Q15286/Q15942/Q16270/Q16513/Q30201/Q4KMQ2/Q6L8Q7/Q6P1M3/Q6PIU2/Q6PJF5/Q6YHK3/Q6ZXV5/Q7Z7H5/Q8IXB1/Q8N5M9/Q8N697/Q8NBM4/Q8NC42/Q8NG11/Q8TC12/Q92692/Q92896/Q96BJ3/Q96BY6/Q96C36/Q96CS3/Q96FW1/Q96QK1/Q99439/Q99584/Q99653/Q9BS26/Q9BUL8/Q9BYT8/Q9H3N1/Q9H4A6/Q9NP58/Q9NR30/Q9NUQ9/Q9P035/Q9P0V3/Q9UBV2/Q9UIQ6/Q9UKV5/Q9UN86/Q9UNK0/Q9UQB8/Q9Y376/Q9Y624/Q9Y679/Q9Y696/Q9Y6E0"
"Insights into Key Protein Complexes and Their Biological Functions","CC",139,"139/297","9894/30343",0,0,"O00291/O14656/O14908/O15144/O15511/O43175/O43324/O43865/O60313/O60443/O60664/O60716/O75436/O75521/O94925/O95208/P00167/P00390/P00558/P04406/P05067/P06744/P06753/P06756/P07910/P07954/P08670/P08708/P08865/P09874/P0DMV9/P11166/P11171/P11498/P11586/P12268/P12814/P13284/P15121/P15311/P16989/P18031/P18077/P18206/P21964/P22314/P23458/P25445/P26038/P26639/P28288/P30041/P35221/P35606/P36551/P36873/P38571/P46777/P49327/P51149/P51151/P51648/P52209/P53618/P53621/P53990/P55145/P84077/P61769/P62979/P63027/P63173/P67936/P68366/P78527/P78536/P98082/Q01082/Q01650/Q01813/Q07157/Q12792/Q13162/Q13561/Q13813/Q14019/Q14118/Q14204/Q14644/Q15084/Q15286/Q15942/Q16513/Q16643/Q16864/Q4KMQ2/Q5VZK9/Q68CZ2/Q6L8Q7/Q6NZI2/Q6P1M3/Q6UWP7/Q6YHK3/Q86W92/Q8IVL5/Q8N3E9/Q93052/Q96BY6/Q96FW1/Q96PU5/Q96QK1/Q99584/Q9BUL8/Q9BYT8/Q9H089/Q9H4A6/Q9HBM0/Q9NP58/Q9NR30/Q9NZ08/Q9UBB4/Q9UBQ7/Q9UEU0/Q9UHB6/Q9UHN6/Q9UIQ6/Q9UKS6/Q9UKV5/Q9UL46/Q9UMS0/Q9UN86/Q9UNK0/Q9UQB8/Q9Y376/Q9Y3E5/Q9Y5X1/Q9Y678/Q9Y696/Q9Y6E0"
"Cellular Cytoskeleton Organization: Actin, Intermediate Filaments, and Organelles","BP",132,"132/297","8572/30343",0,0,"O00291/O14656/O14672/O14939/O15144/O15511/O43681/O60313/O60664/O60716/O75396/O75695/O75787/O75907/O94925/O95292/P04406/P05067/P05556/P06213/P06753/P07910/P08670/P08708/P08865/P09874/P0DMV9/P11117/P11166/P11171/P11233/P12235/P12814/P14406/P15311/P18031/P18077/P18084/P18206/P18827/P22830/P25445/P26038/P28288/P29966/P33992/P35221/P35241/P46777/P49006/P51149/P51809/P53985/P53990/P61020/P84077/P61769/P63027/P63173/P67936/P68366/P78527/P98082/Q00765/Q01082/Q01518/Q07157/Q07954/Q12792/Q12913/Q12965/Q13308/Q13561/Q13813/Q14019/Q14118/Q14141/Q14157/Q14204/Q15599/Q15758/Q15942/Q16513/Q16527/Q16643/Q16718/Q16864/Q30201/Q4KMQ2/Q5VZK9/Q6P1M3/Q7Z7H5/Q86X29/Q8IVT2/Q8N4V1/Q8N5M9/Q8N766/Q8NBJ4/Q8NFQ8/Q92692/Q96AY3/Q96BJ3/Q96CS3/Q96QK1/Q99439/Q99653/Q99714/Q9BQS8/Q9BTV4/Q9BUL8/Q9C0E8/Q9H089/Q9H4A6/Q9H6X2/Q9HC07/Q9NP58/Q9NR30/Q9NUQ9/Q9NYY8/Q9P2B2/Q9UBB4/Q9UEU0/Q9UHB6/Q9UKS6/Q9UMS0/Q9UN86/Q9UNK0/Q9UQB8/Q9Y5X1/Q9Y624/Q9Y679/Q9Y696"
"Morphogenesis and Development of Animal Organs and Anatomical Structures","BP",123,"123/297","10435/30343",0.0067,0.0309,"O14656/O14672/O15173/O15270/O43175/O60313/O60443/O60488/O60716/O75787/O95208/O95470/O95716/O96005/P00558/P05067/P05556/P06213/P06744/P06756/P07954/P08133/P08670/P09874/P0DMV9/P10301/P11166/P11171/P11233/P11586/P12268/P12814/P15121/P15311/P16989/P18084/P18206/P18827/P22830/P23458/P23634/P24752/P26006/P26038/P29966/P31040/P32004/P35221/P35241/P35613/P36873/P38571/P39060/P40189/P43121/P46939/P49006/P49327/P51149/P51648/P53990/P55145/P55327/P60033/P61769/P62166/P63173/P78527/P78536/P98082/Q01082/Q01518/Q01650/Q01974/Q02218/Q07157/Q07954/Q12792/Q12913/Q12965/Q13162/Q13308/Q13444/Q13510/Q13740/Q14118/Q14192/Q15043/Q15286/Q16270/Q16527/Q16643/Q4KMQ2/Q6YHK3/Q86X29/Q8N3E9/Q8N5M9/Q8N697/Q92692/Q92896/Q96AY3/Q96BJ3/Q96BY6/Q96PU5/Q96QK1/Q99439/Q9BUL8/Q9BYT8/Q9C0E8/Q9H6X2/Q9NP58/Q9NUQ9/Q9NZ08/Q9P2B2/Q9UBB4/Q9UBS4/Q9UHN6/Q9UQB8/Q9Y2D5/Q9Y624/Q9Y696/Q9Y6E0/Q9Y6M5"
